작가명,작가 영문명,작품명,분류,경로 분류,수집년도,소장 미술관,활동국가,국적
중광,Jung Kwang,Kissing Cocks,회화,민간기증,2003,허버트 존슨 미술관,한국,
지용호,Ji Yong-Ho,Deer Three Heads,조각,민간기금,2018,허버트 존슨 미술관,한국,
차학경,Theresa Hak Kyung Cha,Mouth to Mouth,미디어아트,복합,2023,휘트니 미술관,"샌프란시스코, 파리, 뉴욕",
차학경,Theresa Hak Kyung Cha,Re Dis Appearing,미디어아트,공공기부,2023,휘트니 미술관,"샌프란시스코, 파리, 뉴욕",
채용신,Chae Yongsin,Portrait of a scholar,회화,복합,2012,메트로폴리탄,,
천경자,Chun Kyung-ja,Goldfish,회화,민간기증,2004,허버트 존슨 미술관,,
최기원,Choi Ki Won,Abstract sculpture,조각,민간기증,2019,허버트 존슨 미술관,,
최상아,Sang-Ah Choi,Blowing Bubbles: Paintings by Sang-Ah Choi,아티스트북/드로잉,민간기부,2003,뉴욕현대미술관,,
최영선,YoungSun Choi,Nine Dragon Falls on Diamond Mountain,사진,공공 기증,2018,시카고 미술관,,
최영선,YoungSun Choi,Calligraphy,사진,공공 기증,2019,시카고 미술관,,
크리스틴 선 김,Christine Sun Kim,The Sound of Temperature Rising,벽화/드로잉/설치,공공기부,2021,뉴욕현대미술관,독일,
크리스틴 선 김,Christine Sun Kim,Shit Hearing People Say To Me,드로잉,공공기부,2021,뉴욕현대미술관,독일,
크리스틴 선 김,Christine Sun Kim,When I Play the Deaf Card,드로잉,공공기부,2021,뉴욕현대미술관,독일,
크리스틴 선 김,Christine Sun Kim,G.O.L.,미디어아트,공공기부/커미션,2021,브루클린 미술관,독일,
크리스틴 선 김,Christine Sun Kim,Too Much Future,드로잉,공공기부,2018,휘트니 미술관,독일,
크리스틴 선 김,Christine Sun Kim,Egg Woman II,미디어아트,민간 기증(사전),2023,시카고 미술관,독일,
하종현,Ha Chong-Hyun,Conjunction 74–26,회화,민간기증,2015,뉴욕현대미술관,,
하종현,Ha Chong-Hyun,Butterflies,회화,민간 기증(사전),2016,시카고 미술관,,
하종현,Ha Chong-Hyun,Circular relief,회화,작가 기증,2016,시카고 미술관,,
허백련,Heo Baek-ryon,Geese,회화,민간기증,2004,허버트 존슨 미술관,한국,
허백련,Heo Baek-ryon,Playing the Flute by Moonlight,회화,민간기증,2004,허버트 존슨 미술관,,
허수영,Her Suyoung,Moon 390426,회화,민간기금,2017,허버트 존슨 미술관,한국,
허수영,Her Suyoung,East Side,회화,민간 기금,2023,시카고 미술관,한국,
황규백,Kyu-Baik Hwang,White Handkerchief on the Grass,판화,민간기부,1973,뉴욕현대미술관,한국,
황규백,K. B. Hwang,Curtain,판화,공공기증,1980,브루클린 미술관,한국,
황규백,K. B. Hwang,Weather Forecast - 722,판화,민간기증,1980,브루클린 미술관,한국,
황규백,K. B. Hwang,Spool,판화,공공기증,1980,브루클린 미술관,한국,
황규백,K. B. Hwang,"Wood, Paper and Stone",판화,공공기증,1980,브루클린 미술관,한국,
황규백,Kyu-Baik Hwang,Umbrella,판화,민간기증,1984,허버트 존슨 미술관,한국,
황란,Ran Hwang,East Wind,설치,복합,2012,브루클린 미술관,,
황인기,In Kie Whang,Village,회화,민간기증,1995,메트로폴리탄,,
황현용,Hwang Hyun-yong,Happiness,회화,민간 기금,2006,시카고 미술관,,
